time;target
22/01/2020;0
23/01/2020;0
24/01/2020;0
25/01/2020;0
26/01/2020;0
27/01/2020;0
28/01/2020;0
29/01/2020;0
30/01/2020;0
31/01/2020;2
01/02/2020;2
02/02/2020;2
03/02/2020;2
04/02/2020;2
05/02/2020;2
06/02/2020;2
07/02/2020;3
08/02/2020;3
09/02/2020;3
10/02/2020;3
11/02/2020;3
12/02/2020;3
13/02/2020;3
14/02/2020;3
15/02/2020;3
16/02/2020;3
17/02/2020;3
18/02/2020;3
19/02/2020;3
20/02/2020;3
21/02/2020;20
22/02/2020;62
23/02/2020;155
24/02/2020;229
25/02/2020;322
26/02/2020;453
27/02/2020;655
28/02/2020;888
29/02/2020;1128
01/03/2020;1694
02/03/2020;2036
03/03/2020;2502
04/03/2020;3089
05/03/2020;3858
06/03/2020;4636
07/03/2020;5883
08/03/2020;7375
09/03/2020;9172
10/03/2020;10149
11/03/2020;12462
12/03/2020;12462
13/03/2020;17660
14/03/2020;21157
15/03/2020;24747
16/03/2020;27980
17/03/2020;31506
18/03/2020;35713
19/03/2020;41035
20/03/2020;47021
21/03/2020;53578
22/03/2020;59138
23/03/2020;63927
24/03/2020;69176
